x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
2.61733756e-01	-6.38009475e-01
2.62710256e-01	-6.35012116e-01
2.63686756e-01	-6.32020451e-01
2.64663257e-01	-6.29034432e-01
2.65639757e-01	-6.26054012e-01
2.66616257e-01	-6.23079142e-01
2.67592758e-01	-6.20109776e-01
2.68569258e-01	-6.17145868e-01
2.69545758e-01	-6.14187371e-01
2.70522259e-01	-6.11234240e-01
2.71498759e-01	-6.08286431e-01
2.72475259e-01	-6.05343897e-01
2.73451760e-01	-6.02406596e-01
2.74428260e-01	-5.99474483e-01
2.75404760e-01	-5.96547515e-01
2.76381261e-01	-5.93625649e-01
2.77357761e-01	-5.90708841e-01
2.78334261e-01	-5.87797051e-01
2.79310762e-01	-5.84890236e-01
2.80287262e-01	-5.81988355e-01
2.81263762e-01	-5.79091366e-01
2.82240263e-01	-5.76199229e-01
2.83216763e-01	-5.73311904e-01
2.84193263e-01	-5.70429350e-01
2.85169764e-01	-5.67551529e-01
2.86146264e-01	-5.64678400e-01
2.87122764e-01	-5.61809925e-01
2.88099265e-01	-5.58946065e-01
2.89075765e-01	-5.56086782e-01
2.90052265e-01	-5.53232038e-01
2.91028766e-01	-5.50381796e-01
2.92005266e-01	-5.47536018e-01
2.92981766e-01	-5.44694667e-01
2.93958267e-01	-5.41857707e-01
2.94934767e-01	-5.39025102e-01
2.95911267e-01	-5.36196814e-01
2.96887767e-01	-5.33372810e-01
2.97864268e-01	-5.30553052e-01
2.98840768e-01	-5.27737507e-01
2.99817268e-01	-5.24926139e-01
3.00793769e-01	-5.22118914e-01
3.01770269e-01	-5.19315798e-01
3.02746769e-01	-5.16516756e-01
3.03723270e-01	-5.13721755e-01
3.04699770e-01	-5.10930761e-01
3.05676270e-01	-5.08143742e-01
3.06652771e-01	-5.05360664e-01
3.07629271e-01	-5.02581495e-01
3.08605771e-01	-4.99806202e-01
3.09582272e-01	-4.97034754e-01
3.10558772e-01	-4.94267118e-01
3.11535272e-01	-4.91503263e-01
3.12511773e-01	-4.88743157e-01
3.13488273e-01	-4.85986770e-01
3.14464773e-01	-4.83234070e-01
3.15441274e-01	-4.80485027e-01
3.16417774e-01	-4.77739611e-01
3.17394274e-01	-4.74997790e-01
3.18370775e-01	-4.72259536e-01
3.19347275e-01	-4.69524818e-01
3.20323775e-01	-4.66793607e-01
