# ordering=colwise,  basis=BASIS_HAT_HIER, number points=1657, (max)level(s): (7,8), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0	5.350525	-0.00085028622	0	0	0	7	109	119	
0	5.3996124	0.0018332785	0	0	0	6	55	60	
0	5.4241561	-0.00031066821	0	0	0	8	221	239	
0	5.4486998	-0.0010829273	0	0	0	7	111	120	
0	5.4732435	-0.00036385059	0	0	0	8	223	240	
0	5.4977871	0.00022828604	0	0	0	3	7	8	
0	5.5223308	-0.00052343648	0	0	0	8	225	241	
0	5.5468745	-0.0012957343	0	0	0	7	113	121	
0	5.5714182	-0.00045312602	0	0	0	8	227	242	
0	5.5959619	-0.0018674064	0	0	0	6	57	61	
0	5.6205056	-0.00029354013	0	0	0	8	229	243	
0	5.6450493	-0.0017032131	0	0	0	7	115	122	
0	5.669593	-0.00025504767	0	0	0	8	231	244	
0	5.6941367	-0.014601166	0	0	0	5	29	31	
0	5.7186804	-0.0005552036	0	0	0	8	233	245	
0	5.7432241	-0.0016538593	0	0	0	7	117	123	
0	5.7677678	-0.0004213589	0	0	0	8	235	246	
0	5.7923115	-0.0054366607	0	0	0	6	59	62	
0	5.8168551	-0.00040958288	0	0	0	8	237	247	
0	5.8413988	-0.0018784388	0	0	0	7	119	124	
0	5.8659425	-0.00064969014	0	0	0	8	239	248	
0	5.8904862	-0.10348646	0	0	0	4	15	16	
0	5.9150299	-0.00046716805	0	0	0	8	241	249	
0	5.9395736	-0.0021510059	0	0	0	7	121	125	
0	5.9641173	-0.00069422884	0	0	0	8	243	250	
0	5.988661	-0.0079678478	0	0	0	6	61	63	
0	6.0132047	-0.0005108493	0	0	0	8	245	251	
0	6.0377484	-0.0022805948	0	0	0	7	123	126	
0	6.0622921	-0.00073936494	0	0	0	8	247	252	
0	6.0868358	-0.035074022	0	0	0	5	31	32	
0	6.1113795	-0.00054758064	0	0	0	8	249	253	
0	6.1359232	-0.0023089213	0	0	0	7	125	127	
0	6.1604668	-0.00066617942	0	0	0	8	251	254	
0	6.1850105	-0.0095006552	0	0	0	6	63	64	
0	6.2095542	-0.00054758064	0	0	0	8	253	255	
0	6.2340979	-0.0021903226	0	0	0	7	127	128	
0	6.2586416	-0.00054758064	0	0	0	8	255	256	
0	6.2831853	6.9388939e-18	0	0	0	0	1	1	

0.0078125	0	0	7	1	65	0	0	0	
0.0078125	1.5707963	-0.00091677929	7	1	65	2	1	3	
0.0078125	3.1415927	0	7	1	65	1	1	2	
0.0078125	4.712389	-0.00091677929	7	1	65	2	3	4	
0.0078125	6.2831853	0	7	1	65	0	1	1	

0.015625	0	-7.6293945e-06	6	1	33	0	0	0	
0.015625	0.39269908	0.00070083518	6	1	33	4	1	9	
0.015625	0.78539816	0.0005844969	6	1	33	3	1	5	
0.015625	1.1780972	-0.00040752499	6	1	33	4	3	10	
0.015625	1.5707963	-0.0069364029	6	1	33	2	1	3	
0.015625	1.9634954	-0.00040752499	6	1	33	4	5	11	
0.015625	2.3561945	0.0005844969	6	1	33	3	3	6	
0.015625	2.7488936	0.00070083518	6	1	33	4	7	12	
0.015625	3.1415927	3.4897757e-18	6	1	33	1	1	2	
0.015625	3.5342917	0.00070083518	6	1	33	4	9	13	
0.015625	3.9269908	0.0005844969	6	1	33	3	5	7	
0.015625	4.3196899	-0.00040752499	6	1	33	4	11	14	
0.015625	4.712389	-0.0069364029	6	1	33	2	3	4	
0.015625	5.1050881	-0.00040752499	6	1	33	4	13	15	
0.015625	5.4977871	0.0005844969	6	1	33	3	7	8	
0.015625	5.8904862	0.00070083518	6	1	33	4	15	16	
0.015625	6.2831853	-7.6293945e-06	6	1	33	0	1	1	

0.0234375	0	0	7	3	66	0	0	0	
0.0234375	1.5707963	-0.00080206751	7	3	66	2	1	3	
0.0234375	3.1415927	3.5202689e-18	7	3	66	1	1	2	
0.0234375	4.712389	-0.00080206751	7	3	66	2	3	4	
0.0234375	6.2831853	2.0328791e-20	7	3	66	0	1	1	

0.03125	0	-3.0517578e-05	5	1	17	0	0	0	
0.03125	0.19634954	0.00097704109	5	1	17	5	1	17	
0.03125	0.39269908	0.002727448	5	1	17	4	1	9	
0.03125	0.58904862	0.00070312713	5	1	17	5	3	18	
0.03125	0.78539816	-0.00027064047	5	1	17	3	1	5	
0.03125	0.9817477	-4.8601151e-05	5	1	17	5	5	19	
0.03125	1.1780972	-0.0017526421	5	1	17	4	3	10	
0.03125	1.3744468	-0.00065382429	5	1	17	5	7	20	
0.03125	1.5707963	-0.024321742	5	1	17	2	1	3	
0.03125	1.7671459	-0.00065382429	5	1	17	5	9	21	
0.03125	1.9634954	-0.0017526421	5	1	17	4	5	11	
0.03125	2.1598449	-4.8601151e-05	5	1	17	5	11	22	
0.03125	2.3561945	-0.00027064047	5	1	17	3	3	6	
0.03125	2.552544	0.00070312713	5	1	17	5	13	23	
0.03125	2.7488936	0.002727448	5	1	17	4	7	12	
0.03125	2.9452431	0.00097704109	5	1	17	5	15	24	
0.03125	3.1415927	-3.5507621e-18	5	1	17	1	1	2	
0.03125	3.3379422	0.00097704109	5	1	17	5	17	25	
0.03125	3.5342917	0.002727448	5	1	17	4	9	13	
0.03125	3.7306413	0.00070312713	5	1	17	5	19	26	
0.03125	3.9269908	-0.00027064047	5	1	17	3	5	7	
0.03125	4.1233404	-4.8601151e-05	5	1	17	5	21	27	
0.03125	4.3196899	-0.0017526421	5	1	17	4	11	14	
0.03125	4.5160394	-0.00065382429	5	1	17	5	23	28	
0.03125	4.712389	-0.024321742	5	1	17	2	3	4	
0.03125	4.9087385	-0.00065382429	5	1	17	5	25	29	
0.03125	5.1050881	-0.0017526421	5	1	17	4	13	15	
0.03125	5.3014376	-4.8601151e-05	5	1	17	5	27	30	
0.03125	5.4977871	-0.00027064047	5	1	17	3	7	8	
0.03125	5.6941367	0.00070312713	5	1	17	5	29	31	
0.03125	5.8904862	0.002727448	5	1	17	4	15	16	
0.03125	6.0868358	0.00097704109	5	1	17	5	31	32	
0.03125	6.2831853	-3.0517578e-05	5	1	17	0	1	1	

0.0390625	0	0	7	5	67	0	0	0	
0.0390625	1.5707963	-0.00069430576	7	5	67	2	1	3	
0.0390625	3.1415927	4.0657581e-20	7	5	67	1	1	2	
0.0390625	4.712389	-0.00069430576	7	5	67	2	3	4	
0.0390625	6.2831853	-8.1315163e-20	7	5	67	0	1	1	

0.046875	0	-7.6293945e-06	6	3	34	0	0	0	
0.046875	0.39269908	0.00043008823	6	3	34	4	1	9	
0.046875	0.78539816	0.00037749023	6	3	34	3	1	5	
