# ordering=colwise,  basis=BASIS_NODAL, number points=1089, (max)level(s): (5,5), domain=[0,1] x [0,6.2831853]
# x_i : coordinates; (l_i,i_i): multiindex coords; scalaridx_i: linearized multiindex coords
x_0	x_1	f(x)	l_0	i_0	scalaridx_0	l_1	i_1	scalaridx_1	
0.15625	1.1780972	0.24615667	5	5	19	4	3	10	
0.15625	1.3744468	0.27726399	5	5	19	5	7	20	
0.15625	1.5707963	0.287377	5	5	19	2	1	3	
0.15625	1.7671459	0.27726399	5	5	19	5	9	21	
0.15625	1.9634954	0.24615667	5	5	19	4	5	11	
0.15625	2.1598449	0.19992275	5	5	19	5	11	22	
0.15625	2.3561945	0.14478964	5	5	19	3	3	6	
0.15625	2.552544	0.090169453	5	5	19	5	13	23	
0.15625	2.7488936	0.04327531	5	5	19	4	7	12	
0.15625	2.9452431	0.011744896	5	5	19	5	15	24	
0.15625	3.1415927	0.00076293945	5	5	19	1	1	2	
0.15625	3.3379422	0.011744896	5	5	19	5	17	25	
0.15625	3.5342917	0.04327531	5	5	19	4	9	13	
0.15625	3.7306413	0.090169453	5	5	19	5	19	26	
0.15625	3.9269908	0.14478964	5	5	19	3	5	7	
0.15625	4.1233404	0.19992275	5	5	19	5	21	27	
0.15625	4.3196899	0.24615667	5	5	19	4	11	14	
0.15625	4.5160394	0.27726399	5	5	19	5	23	28	
0.15625	4.712389	0.287377	5	5	19	2	3	4	
0.15625	4.9087385	0.27726399	5	5	19	5	25	29	
0.15625	5.1050881	0.24615667	5	5	19	4	13	15	
0.15625	5.3014376	0.19992275	5	5	19	5	27	30	
0.15625	5.4977871	0.14478964	5	5	19	3	7	8	
0.15625	5.6941367	0.090169453	5	5	19	5	29	31	
0.15625	5.8904862	0.04327531	5	5	19	4	15	16	
0.15625	6.0868358	0.011744896	5	5	19	5	31	32	
0.15625	6.2831853	0.00076293945	5	5	19	0	1	1	

0.1875	0	0.0013427734	4	3	10	0	0	0	
0.1875	0.19634954	0.010035379	4	3	10	5	1	17	
0.1875	0.39269908	0.034333089	4	3	10	4	1	9	
